,Company,Correlation
0,A,0.11
1,AAPL,0.18
2,ABBV,0.21
3,ABC,-0.0
4,ABMD,0.27
5,ABT,0.17
6,ACN,0.13
7,ADBE,0.1
8,ADI,0.12
9,ADSK,0.16
10,AKAM,0.02
11,ALL,0.18
12,ALXN,0.14
13,AMCR,0.11
14,AMD,0.04
15,AME,0.16
16,AMGN,0.11
17,AMP,0.09
18,AMZN,0.15
19,ANET,0.07
20,ANSS,0.04
21,AON,0.17
22,AOS,0.19
23,APA,0.37
24,APD,0.13
25,ATVI,0.16
26,AVGO,0.13
27,BAX,0.13
28,BBY,0.19
29,BDX,0.15
30,BIIB,0.02
31,BKR,0.14
32,BLK,0.14
33,BMY,0.17
34,BR,0.12
35,BSX,0.26
36,BWA,0.18
37,CAG,0.07
38,CAH,0.08
39,CAT,0.05
40,CDNS,0.1
41,CDW,0.15
42,CHD,0.18
43,CHRW,0.13
44,CHTR,0.19
45,CLX,0.01
46,CMG,0.23
47,CMI,0.14
48,CNC,0.16
49,COG,0.06
50,COP,0.15
51,COST,0.12
52,CPB,0.15
53,CPRT,0.17
54,CRM,0.15
55,CSCO,0.05
56,CSX,0.12
57,CTXS,-0.06
58,CVS,0.14
59,CVX,0.15
60,CXO,0.15
61,DD,0.17
62,DG,0.16
63,DGX,0.34
64,DHR,0.18
65,DLR,0.07
66,DOW,0.09
67,DPZ,0.09
68,DVA,0.09
69,DVN,0.2
70,DXCM,0.31
71,EA,0.15
72,EBAY,0.43
73,ECL,0.18
74,EMN,0.19
75,EMR,0.12
76,EOG,0.15
77,EQIX,0.09
78,ETFC,0.12
79,EW,0.18
80,EXPD,0.18
81,FANG,0.17
82,FAST,0.15
83,FB,0.22
84,FFIV,0.23
85,FLIR,0.16
86,FMC,0.13
87,FRC,0.11
88,FTNT,0.06
89,GILD,0.09
90,GIS,0.07
91,GOOG,0.21
92,GOOGL,0.2
93,GWW,0.13
94,HAL,0.19
95,HD,0.19
96,HES,0.21
97,HFC,0.07
98,HOLX,0.35
99,HRL,-0.04
100,HUM,0.24
101,ICE,0.17
102,IDXX,0.2
103,IEX,0.16
104,IFF,0.2
105,ILMN,0.09
106,INCY,0.23
107,INFO,0.06
108,INTC,0.03
109,INTU,0.15
110,IPGP,0.07
111,IQV,0.22
112,IR,0.14
113,IT,0.18
114,JBHT,0.1
115,JKHY,0.11
116,JNJ,0.2
117,JNPR,0.13
118,K,0.06
119,KEYS,0.16
120,KHC,0.08
121,KLAC,0.1
122,KMB,0.16
123,KR,0.06
124,KSU,0.04
125,LIN,0.09
126,LLY,0.12
127,LMT,0.15
128,LOW,0.18
129,MAS,0.22
130,MCHP,0.13
131,MCK,0.06
132,MCO,0.09
133,MDT,0.14
134,MKC,0.12
135,MKTX,0.15
136,MMC,0.22
137,MNST,0.19
138,MRO,0.25
139,MSCI,0.03
140,MSFT,0.12
141,MTD,0.09
142,MXIM,0.1
143,MYL,0.09
144,NBL,0.19
145,NDAQ,0.13
146,NEM,0.15
147,NFLX,0.07
148,NKE,0.16
149,NLOK,0.21
150,NOV,0.09
151,NOW,0.18
152,NRG,0.23
153,NSC,0.14
154,NTAP,0.15
155,NTRS,-0.0
156,NUE,0.12
157,NVDA,0.1
158,NWS,0.14
159,NWSA,0.11
160,ODFL,0.04
161,ORCL,0.03
162,ORLY,0.25
163,OXY,0.12
164,PAYC,0.11
165,PCAR,0.15
166,PEP,0.11
167,PFE,0.16
168,PKG,0.06
169,PKI,0.23
170,PLD,0.12
171,PRGO,0.08
172,PSX,0.13
173,PXD,0.13
174,PYPL,0.23
175,QCOM,0.15
176,QRVO,0.18
177,REGN,0.14
178,RMD,0.09
179,ROK,0.13
180,ROL,0.19
181,ROP,0.11
182,SBAC,0.15
183,SBUX,0.18
184,SCHW,0.01
185,SEE,0.12
186,SHW,0.19
187,SIVB,0.09
188,SJM,0.09
189,SNPS,0.19
190,SPGI,0.13
191,STE,0.11
192,STT,0.09
193,STX,0.08
194,SWKS,0.12
195,SYK,0.22
196,TGT,0.18
197,TMO,0.15
198,TMUS,0.11
199,TROW,0.12
200,TSCO,0.17
201,TTWO,0.1
202,TXN,0.14
203,UNH,0.2
204,UNP,0.12
205,UPS,0.01
206,URI,0.12
207,V,0.12
208,VAR,0.18
209,VLO,0.2
210,VRSK,0.14
211,VRSN,0.1
212,VRTX,0.07
213,VZ,0.15
214,WLTW,0.16
215,WMB,0.13
216,WMT,0.06
217,XLNX,0.1
218,XOM,0.2
219,ZBRA,0.12
