,sector,industry,market,total_return
A,Health Technology,Biotechnology,$24.7B,0.09518576962599123
AAPL,Electronic Technology,Telecommunications Equipment,$1.3T,0.09136471458192452
ABBV,Health Technology,Pharmaceuticals: Major,$124.0B,0.033474241357682066
ABC,Distribution Services,Medical Distributors,$17.9B,0.029162334670966628
ABMD,Health Technology,Medical Specialties,$8.4B,0.1612335230222639
ABT,Health Technology,Medical Specialties,$165.7B,0.15974290599761143
ACN,Technology Services,Information Technology Services,$124.8B,0.06393219419222018
ADBE,Technology Services,Packaged Software,$177.1B,0.09844154503890667
ADI,Electronic Technology,Semiconductors,$40.4B,0.04060909736012763
ADSK,Technology Services,Packaged Software,$40.4B,0.10025538619589747
AKAM,Technology Services,Internet Software/Services,$16.4B,0.11154962786001588
ALL,Finance,Property/Casualty Insurance,$31.7B,-0.01722747378269962
ALXN,Health Technology,Biotechnology,$21.5B,0.14419186983379895
AMCR,Process Industries,Containers/Packaging,$14.4B,0.015607512316698324
AMD,Electronic Technology,Semiconductors,$62.3B,0.1846627821986948
AME,Producer Manufacturing,Electrical Products,$19.3B,-0.017505499684055348
AMGN,Health Technology,Biotechnology,$138.1B,0.1470503056738286
AMP,Finance,Investment Banks/Brokers,$15.4B,0.015677420906434536
AMZN,Retail Trade,Internet Retail,$1.2T,0.2458637809561095
ANET,Electronic Technology,Computer Communications,$16.5B,0.10572113762677926
ANSS,Technology Services,Packaged Software,$22.5B,0.13386004749191693
AON,Finance,Insurance Brokers/Services,$43.9B,0.05527031556441431
AOS,Producer Manufacturing,Building Products,$7.2B,-0.0026071770380350356
APA,Energy Minerals,Oil & Gas Production,$4.7B,0.09267840625907264
APD,Process Industries,Chemicals: Specialty,$51.6B,0.07307294501808514
ATVI,Consumer Durables,Recreational Products,$56.4B,0.19008402387670076
AVGO,Electronic Technology,Semiconductors,$110.0B,0.02111075861314804
BAX,Health Technology,Medical Specialties,$44.8B,0.035068642022073604
BBY,Retail Trade,Electronics/Appliance Stores,$20.2B,0.09883057663618833
BDX,Health Technology,Medical Specialties,$69.2B,0.1044203743383314
BIIB,Health Technology,Biotechnology,$52.2B,0.046265039115779505
BKR,Industrial Services,Oilfield Services/Equipment,$15.5B,0.05886623927826773
BLK,Finance,Investment Managers,$77.4B,-0.00993463520390736
